SITE_ID,SITE_NAME,AREA_NAME_SUB_DISTRICT,X_LONGITUDE,Y_LATITUDE,CITY_OR_DATI_II,AREA,BRANCH,PROVINCE,REGION,SITE_OWNERSHIP,TOWER_OWNERSHIP,COLOCATION_Y_OR_N,SITE_TYPE_GF_OR_RT_OR_MICROCELL_OR_INDOOR,HEIGHT_EXISTING_BUILDING_M,HEIGHT_TOWER_M,BTS_COVERAGE_TYPE_MACRO_OR_MICRO_OR_IBS
02PMR0057,RAMBUNG_MERAH_SIANTAR_GT,SIANTAR,99.09166,2.97914,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,GAMETRACO,GAMETRACO,Y,GF,,39,MACRO
02PMR0058,INPRES_HUTA_MELATI_PL,SIANTAR,99.09256,2.96042,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,54,MACRO
02PMR0059,SIANTAR2_EP,SIANTAR,99.09333,2.97056,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,EMA,EMA,Y,GF,,55.2,MACRO
02PMR0060,DOLOK_KAHEAN_PL,TAPIAN DOLOK,99.09504,3.10775,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,54,MACRO
02PMR0061,JLN_HULAKMA_SINAGA_TB,SIANTAR,99.09715,2.97691,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
02PMR0062,SIANTAR_ESTATE_PMR_MT,SIANTAR,99.09717,2.96903,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,20,MACRO
02PMR0063,KRG_SARI_MT,GUNUNG MALIGAS,99.1004,2.99983,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,42,MACRO
02PMR0064,KARANG_BANGUN_PL,SIANTAR,99.10122,2.98324,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,40,MACRO
02PMR0065,MARIHAT_BARIS_MT,SIANTAR,99.10444,2.96825,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,42,MACRO
02PMR0066,SINAKSAK_SIMALUNGUN_PL,TAPIAN DOLOK,99.10652,3.0251,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,50,MACRO
